Q,A
여보세요,어 그래
여보세요,여보세요
여보세요,어 왜
여보세요,어디야
가고 있어,어디 쯤인데
가고 있어,어딘데
지금 이쯤이야,어 그래 천천히 와
지금 이쯤이야,어 조심해서 와
지금 이쯤이야,어 그래 비는 안오지
뭐해,TV보고 있어
뭐해,저녁 먹을려고
뭐 보는데,드라마 보고 있어
뭐 보는데,뉴스 보고 있어
무슨 드라마,우영우 보고 있어
무슨 드라마,현재는 아름다워 보고 있어
재밌어,어 재밌네
뭐 먹을껀데,고기 먹으려고
뭐 먹을껀데,남는 반찬 비벼먹으려고
뭐 먹을껀데,김치찌개 먹으려고
뭐 먹을껀데,된장찌개 먹으려고
뭐 먹을껀데,두부김치 먹으려고
반찬 뭐야,고기 먹으려고
무슨 부위,삼겹살
무슨 부위,목살
무슨 부위,제육볶음
무슨 부위,소고기 꽃등심
무슨 부위,소고기 안심
무슨 부위,소고기 부챗살
무슨 부위,소고기 안창살
무슨 부위,소고기 갈비살
무슨 고기,삼겹살
무슨 고기,목살
무슨 고기,제육볶음
무슨 고기,소고기 꽃등심
무슨 고기,소고기 안심
무슨 고기,소고기 부챗살
무슨 고기,소고기 안창살
무슨 고기,소고기 갈비살
나도 먹을래,알았어 기다릴게
나도 먹을래,알았어 너꺼 남겨놓을게
배고픈데 뭐 있어,뭐 없는데 뭐 시켜먹을까
배고파,뭐 시켜먹어
뭐 시켜먹지,치킨 어때
뭐 시켜먹지,중식 어때
뭐 시켜먹지,피자 어때
뭐 시켜먹지,족발 어때
뭐 시켜먹지,보쌈 어때
뭐 시켜먹지,햄버거 어때
뭐 시켜먹을까,떡볶이 어때
뭐 시켜먹지,치킨 어때
가고 있어,어디 쯤인데
지금 이쯤이야,어 그래 천천히 와
지금 이쯤이야,어 다왔네
뭐해,TV보고 있어
뭐 보는데,드라마 보고 있어
무슨 드라마,우영우 보고 있어
재밌어,어 재밌네
배고파,뭐 시켜먹을까
배고파,뭐 먹을래
뭐 시켜먹을까,치킨 시켜먹을까
뭐 시켜먹을까,중식 시켜먹을까
뭐 시켜먹을까,피자 시켜먹을까
뭐 시켜먹을까,족발 시켜먹을까
뭐 시켜먹을까,보쌈 시켜먹을까
뭐 시켜먹을까,햄버거 시켜먹을까
뭐 시켜먹을까,떡볶이 시켜먹을까
어디 치킨,교촌 어때
어디 치킨,BBQ 어때
어디 치킨,BHC 어떄
어디 치킨,푸라닭 어때
어디 피자,피자헛 어떄
어디 피자,도미노 피자 어떄
어디 피자,미스터 피자 어때
어디 족발,가장 맛있는 족발 어때
어디 족발,야시장 족발 어때
어디 보쌈,야시장 보쌈 어때
어디 햄버거,맘스터치 어때
어디 햄버거,버거킹 어때
어디 햄버거,롯데리아 어떄
어디 햄버거,맥도날드 어떄
어디 떡볶이,엽기 떡볶이 어떄
어디 떡볶이,신전 떡볶이 어떄
어디 떡볶이,배떡 어떄
어디 떡볶이,청년다방 떡볶이 어떄
어디 떡볶이,죠스 떡볶이 어떄
그거 먹자,알았어 이거 먹자
그거 시켜줘,알았어 이거 시킬게
