Q,A,label
여보세요,어 왜,1.0
여보세요,무슨일이야?,1.0
여보세요,여보세요~,1.0
여보세요,네 전화받았습니다,1.0
여보세요,무슨일이야?,1.0
여보세요,왜 불러?,1.0
안녕,어 왜,1.0
안녕,무슨일이야?,1.0
안녕,안녕,1.0
안녕,네 전화받았습니다,1.0
안녕,무슨일이야?,1.0
안녕,왜 불러?,1.0
뭐 해?,밥 먹고있어,0.0
뭐 해?,그냥 가만히 있어,0.0
뭐 해?,자고 있었어,0.0
뭐 해?,설문 조사하고 있었어,0.0
뭐 해?,MBTI 검사하고있었어,0.0
뭐 해?,집 가고 있는중이야,0.0
뭐 하고있어?,밥 먹고 있다!,0.0
뭐 하고있어?,그냥 가만히 있어!,0.0
뭐 하고있어?,자고 있었오,0.0
뭐 하고있어?,설문 조사하고 있었어,0.0
뭐 하고있어?,MBTI 검사하고있었어,0.0
뭐 하고있어?,집 가고 있어,0.0
뭐 하고있었어?,밥먹고 있었는데 왜?,0.0
뭐 하고있었어?,그냥 아무것도 안하고 있었어,0.0
뭐 하고있었어?,방금까지 자고 있었어,0.0
뭐 하고있었어?,설문조사 하고 있어,0.0
뭐 하고있었어?,MBTI검사하고 있는데?,0.0
뭐 하고있었어?,지금 집 가고 있어!,0.0
뭐 하고계세요?,밥먹는중!,0.0
뭐 하고계세요?,그냥 가만히 있는중,0.0
뭐 하고계세요?,너 기다리고 있어,0.0
뭐 하고계세요?,자고 있었어,0.0
뭐 하고계세요?,MBTI검사하고 있어,0.0
뭐 하고계세요?,집 가고 있어,0.0
같이가자,그래 너 어디야?,0.0
같이갈래?,그래 너 어디야?,0.0
같이가자 기다려,그래 너 어디야?,0.0
같이가면 안돼?,그래 너 어디야?,0.0
뭐 하니?,밥먹고 쉬고 있어,0.0
뭐 하니?,그냥 쉬고 있어,0.0
뭐 하니?,자다 일어났어,0.0
뭐 하니?,설문조사같은거 하고 있었어,0.0
뭐 하니?,MBTI검사하고 있었어,0.0
뭐 하니,집가고 있어,0.0
뭐 먹어?,치킨먹고 있어,0.0
뭐 먹어?,피자먹고 있었어,0.0
뭐 먹어?,집밥먹을라고 준비중,0.0
뭐 먹어?,쿠키사서 먹을라고,0.0
뭐 먹는데?,치킨사서 먹을라고,0.0
뭐 먹는데?,피자먹으려고 준비중,0.0
